347		קֵינָן	Q;JN@N	QJNN/	Kenan
348		מַהֲלַלְאֵל	MAH:ALAL:>;L	MHLL>L/	Mahalalel
349		עֶשֶׂר	<EFER	<FR=/	ten
350		שֵׁשׁ	C;C	CC/	six
351		יֶרֶד	JERED	JRD/	Jered
352		מְתוּשֶׁלַח	M:TW.CELAX	MTWCLX/	Methuselah
353		נֹחַ	NOXA	NX/	Noah
354		נחם	NXM	NXM[	repent, console
355		מַעֲשֶׂה	MA<:AFEH	M<FH/	deed
356		שֵׁם	C;M	CM=/	Shem
357		חָם	X@M	XM===/	Ham
358		יֶפֶת	JEPET	JPT/	Japheth
359		רבב	RBB	RBB[	be much
360		הֵנָּה	H;N.@H	HNH=	they
361		בחר	BXR	BXR[	examine
362		דון	DWN	DWN[	[uncertain]
363		שַׁ	CA	C	[relative]
364		עֶשְׂרִים	<EF:RIJM	<FRJM/	twenty
365		נְפִילִים	N:PIJLIJM	NPJLJM/	giants
366		הֵמָּה	H;M.@H	HMH	they
367		גִּבֹּור	G.IB.OWR	GBWR/	vigorous
368		רַב	RAB	RB/	much
369		רָעָה	R@<@H	R<H/	evil
370		יֵצֶר	J;YER	JYR/	form
371		מַחֲשָׁבָה	MAX:AC@B@H	MXCBH/	thought
372		לֵב	L;B	LB/	heart
373		רַק	RAQ	RQ	only
374		עצב	<YB	<YB[	hurt
375		מחה	MXH	MXH[	wipe
376		חֵן	X;N	XN/	grace
377		צַדִּיק	YAD.IJQ	YDJQ/	just
378		תָּמִים	T.@MIJM	TMJM/	complete
379		דֹּור	D.OWR	DWR/	generation
380		שׁחת	CXT	CXT[	destroy
381		חָמָס	X@M@S	XMS/	violence
382		תֵּבָה	T.;B@H	TBH/	ark
383		גֹּפֶר	G.OPER	GPR/	gopher
384		קֵן	Q;N	QN/	nest
385		כפר	KPR	KPR[	cover
386		בַּיִת	B.AJIT	BJT/	house
387		חוּץ	XW.Y	XWY/	outside
388		כֹּפֶר	K.OPER	KPR=/	cover
389		אַמָּה	>AM.@H	>MH=/	cubit
390		אֹרֶךְ	>OREK:	>RK=/	length
391		רֹחַב	ROXAB	RXB=/	breadth
392		קֹומָה	QOWM@H	QWMH/	height
393		צֹהַר	YOHAR	YHR/	roof
394		מַעַל	MA<AL	M<L/	top
395		צַד	YAD	YD/	side
396		תַּחְתִּי	T.AX:T.IJ	TXTJ/	lower
397		אֲנִי	>:ANIJ	>NJ	i
398		מַבּוּל	MAB.W.L	MBWL/	deluge
399		גוע	GW<	GW<[	expire
400		בְּרִית	B.:RIJT	BRJT/	covenant
401		אסף	>SP	>SP[	gather
402		טָהֹר	V@HOR	VHR/	pure
403		יְקוּם	J:QW.M	JQWM/	substance
404		חֹדֶשׁ	XODEC	XDC=/	month
405		עָשָׂר	<@F@R	<FR/	-teen
406		בקע	BQ<	BQ<[	split
407		מַעְיָן	MA<:J@N	M<JN/	well
408		אֲרֻבָּה	>:ARUB.@H	>RBH=/	hole
409		פתח	PTX	PTX[	open
410		גֶּשֶׁם	G.ECEM	GCM/	rain
411		צִפֹּור	YIP.OWR	YPWR/	bird
412		בַּעַד	B.A<AD	B<D/	distance
413		רום	RWM	RWM[	be high
414		גבר	GBR	GBR[	be superior
415		כסה	KSH	KSH[	cover
416		הַר	HAR	HR/	mountain
417		גָּבֹהַּ	G.@BOH.A	GBH/	high
418		חָרָבָה	X@R@B@H	XRBH/	dry ground
419		שׁאר	C>R	C>R[	remain
420		אַךְ	>AK:	>K	only
421		זכר	ZKR	ZKR[	remember
422		עבר	<BR	<BR[	pass
423		שׁכך	CKK	CKK[	go down
424		סכר	SKR	SKR[	stop
425		כלא	KL>	KL>[	restrain
426		חסר	XSR	XSR[	diminish
427		קָצֶה	Q@YEH	QYH=/	end
428		אֲרָרַט	>:AR@RAV	>RRV/	Ararat
429		עֲשִׂירִי	<:AFIJRIJ	<FJRJ/	tenth
430		חַלֹּון	XAL.OWN	XLWN/	window
431		עֹרֵב	<OR;B	<RB===/	raven
432		יבשׁ	JBC	JBC[	be dry
433		יֹונָה	JOWN@H	JWNH/	dove
434		קלל	QLL	QLL[	be slight
435		מָנֹוחַ	M@NOWXA	MNWX/	resting place
436		כַּף	K.AP	KP/	palm
437		רֶגֶל	REGEL	RGL/	foot
438		חיל	XJL==	XJL==[	wait
