L70333		אַחֵר	>AX;R	>XR=/	other
L70334		אֱנֹושׁ	>:ENOWC	>NWC==/	Enosh
L70335		אָז	>@Z	>Z	then
L70336		חלל	XLL	XLL[	defile
L70337		זֶה	ZEH	ZH	this
L70338		סֵפֶר	S;PER	SPR/	letter
L70339		שָׁלֹשׁ	C@LOC	CLC/	three
L70340		מֵאָה	M;>@H	M>H/	hundred
L70341		אַחַר	>AXAR	>XR/	after
L70342		שְׁמֹנֶה	C:MONEH	CMNH/	eight
L70343		בַּת	B.AT	BT/	daughter
L70344		תֵּשַׁע	T.;CA<	TC</	nine
L70345		חָמֵשׁ	X@M;C	XMC/	five
L70346		עֶשְׂרֵה	<EF:R;H	<FRH/	-teen
L70347		קֵינָן	Q;JN@N	QJNN/	Kenan
L70348		מַהֲלַלְאֵל	MAH:ALAL:>;L	MHLL>L/	Mahalalel
L70349		עֶשֶׂר	<EFER	<FR=/	ten
L70350		שֵׁשׁ	C;C	CC/	six
L70351		יֶרֶד	JERED	JRD/	Jered
L70352		מְתוּשֶׁלַח	M:TW.CELAX	MTWCLX/	Methuselah
L70353		נֹחַ	NOXA	NX/	Noah
L70354		נחם	NXM	NXM[	repent, console
L70355		מַעֲשֶׂה	MA<:AFEH	M<FH/	deed
L70356		שֵׁם	C;M	CM=/	Shem
L70357		חָם	X@M	XM===/	Ham
L70358		יֶפֶת	JEPET	JPT/	Japheth
L70359		רבב	RBB	RBB[	be much
L70360		הֵנָּה	H;N.@H	HNH=	they
L70361		בחר	BXR	BXR[	examine
L70362		דון	DWN	DWN[	[uncertain]
L70363		שַׁ	CA	C	[relative]
L70364		עֶשְׂרִים	<EF:RIJM	<FRJM/	twenty
L70365		נְפִילִים	N:PIJLIJM	NPJLJM/	giants
L70366		הֵמָּה	H;M.@H	HMH	they
L70367		גִּבֹּור	G.IB.OWR	GBWR/	vigorous
L70368		רַב	RAB	RB/	much
L70369		רָעָה	R@<@H	R<H/	evil
L70370		יֵצֶר	J;YER	JYR/	form
L70371		מַחֲשָׁבָה	MAX:AC@B@H	MXCBH/	thought
L70372		לֵב	L;B	LB/	heart
L70373		רַק	RAQ	RQ	only
L70374		עצב	<YB	<YB[	hurt
L70375		מחה	MXH	MXH[	wipe
L70376		חֵן	X;N	XN/	grace
L70377		צַדִּיק	YAD.IJQ	YDJQ/	just
L70378		תָּמִים	T.@MIJM	TMJM/	complete
L70379		דֹּור	D.OWR	DWR/	generation
L70380		שׁחת	CXT	CXT[	destroy
L70381		חָמָס	X@M@S	XMS/	violence
L70382		תֵּבָה	T.;B@H	TBH/	ark
L70383		גֹּפֶר	G.OPER	GPR/	gopher
L70384		קֵן	Q;N	QN/	nest
L70385		כפר	KPR	KPR[	cover
L70386		בַּיִת	B.AJIT	BJT/	house
L70387		חוּץ	XW.Y	XWY/	outside
L70388		כֹּפֶר	K.OPER	KPR=/	cover
L70389		אַמָּה	>AM.@H	>MH=/	cubit
L70390		אֹרֶךְ	>OREK:	>RK=/	length
L70391		רֹחַב	ROXAB	RXB=/	breadth
L70392		קֹומָה	QOWM@H	QWMH/	height
L70393		צֹהַר	YOHAR	YHR/	roof
L70394		מַעַל	MA<AL	M<L/	top
L70395		צַד	YAD	YD/	side
L70396		תַּחְתִּי	T.AX:T.IJ	TXTJ/	lower
L70397		אֲנִי	>:ANIJ	>NJ	i
L70398		מַבּוּל	MAB.W.L	MBWL/	deluge
L70399		גוע	GW<	GW<[	expire
L70400		בְּרִית	B.:RIJT	BRJT/	covenant
L70401		אסף	>SP	>SP[	gather
L70402		טָהֹר	V@HOR	VHR/	pure
L70403		יְקוּם	J:QW.M	JQWM/	substance
L70404		חֹדֶשׁ	XODEC	XDC=/	month
L70405		עָשָׂר	<@F@R	<FR/	-teen
L70406		בקע	BQ<	BQ<[	split
L70407		מַעְיָן	MA<:J@N	M<JN/	well
L70408		אֲרֻבָּה	>:ARUB.@H	>RBH=/	hole
L70409		פתח	PTX	PTX[	open
L70410		גֶּשֶׁם	G.ECEM	GCM/	rain
L70411		צִפֹּור	YIP.OWR	YPWR/	bird
L70412		בַּעַד	B.A<AD	B<D/	distance
L70413		רום	RWM	RWM[	be high
L70414		גבר	GBR	GBR[	be superior
L70415		כסה	KSH	KSH[	cover
L70416		הַר	HAR	HR/	mountain
L70417		גָּבֹהַּ	G.@BOH.A	GBH/	high
L70418		חָרָבָה	X@R@B@H	XRBH/	dry ground
L70419		שׁאר	C>R	C>R[	remain
L70420		אַךְ	>AK:	>K	only
L70421		זכר	ZKR	ZKR[	remember
L70422		עבר	<BR	<BR[	pass
L70423		שׁכך	CKK	CKK[	go down
L70424		סכר	SKR	SKR[	stop
L70425		כלא	KL>	KL>[	restrain
L70426		חסר	XSR	XSR[	diminish
L70427		קָצֶה	Q@YEH	QYH=/	end
L70428		אֲרָרַט	>:AR@RAV	>RRV/	Ararat
L70429		עֲשִׂירִי	<:AFIJRIJ	<FJRJ/	tenth
L70430		חַלֹּון	XAL.OWN	XLWN/	window
L70431		עֹרֵב	<OR;B	<RB===/	raven
L70432		יבשׁ	JBC	JBC[	be dry
L70433		יֹונָה	JOWN@H	JWNH/	dove
L70434		קלל	QLL	QLL[	be slight
L70435		מָנֹוחַ	M@NOWXA	MNWX/	resting place
L70436		כַּף	K.AP	KP/	palm
L70437		רֶגֶל	REGEL	RGL/	foot
L70438		חיל	XJL==	XJL==[	wait
L70439		עֵת	<;T	<T/	time
L70440		זַיִת	ZAJIT	ZJT/	olive
L70441		טָרָף	V@R@P	VRP=/	fresh plucked
L70442		יחל	JXL	JXL[	wait, to hope
L70443		רִאשֹׁון	RI>COWN	R>CWN/	first
L70444		חרב	XRB	XRB[	be dry
L70445		סור	SWR	SWR[	turn aside
L70446		מִכְסֶה	MIK:SEH	MKSH/	covering
L70447		דבר	DBR	DBR[	speak
L70448		מִשְׁפָּחָה	MIC:P.@X@H	MCPXH/	clan
L70449		מִזְבֵּחַ	MIZ:B.;XA	MZBX/	altar
L70450		עֹלָה	<OL@H	<LH/	burnt-offering
L70451		רוח	RWX	RWX[	be spacious
L70452		רֵיחַ	R;JXA	RJX/	scent
L70453		נִיחֹחַ	NIJXOXA	NJXX/	smell of appeasement
L70454		נְעוּרִים	N:<W.RIJM	N<WRJM/	youth
L70455		קָצִיר	Q@YIJR	QYJR/	harvest
L70456		קֹר	QOR	QR/	cold
L70457		חֹם	XOM	XM/	heat
L70458		קַיִץ	QAJIY	QJY/	summer
L70459		חֹרֶף	XOREP	XRP/	autumn
L70460		מֹורָא	MOWR@>	MWR>/	fear
L70461		חַת	XAT	XT/	terror
L70462		דָּג	D.@G	DG/	fish
L70463		דרשׁ	DRC	DRC[	inquire
L70464		שׁפך	CPK	CPK[	pour
L70465		אַתֶּם	>AT.EM	>TM	you
L70466		כרת	KRT	KRT[	cut
L70467		קֶשֶׁת	QECET	QCT/	bow
L70468		עָנָן	<@N@N	<NN/	cloud
L70469		ענן	<NN	<NN[	appear
L70470		כְּנַעַן	K.:NA<AN	KN<N/	Canaan
L70471		נפץ	NPY	NPY[	shatter
L70472		כֶּרֶם	K.EREM	KRM/	vineyard
L70473		שׁתה	CTH	CTH[	drink
L70474		יַיִן	JAJIN	JJN/	wine
L70475		שׁכר	CKR	CKR[	be drunk
L70476		גלה	GLH	GLH[	uncover
L70477		עֶרְוָה	<ER:W@H	<RWH/	nakedness
L70478		שִׂמְלָה	FIM:L@H	FMLH/	mantle
L70479		שְׁכֶם	C:KEM	CKM/	shoulder
L70480		אֲחֹרַנִּית	>:AXORAN.IJT	>XRNJT	backwards
L70481		יקץ	JQY	JQY[	awake
L70482		קָטָן	Q@V@N	QVN=/	small
L70483		עֶבֶד	<EBED	<BD/	servant
L70484		פתה	PTH	PTH=[	be spacious
L70485		גֹּמֶר	G.OMER	GMR/	Gomer
L70486		מָגֹוג	M@GOWG	MGWG/	Magog
L70487		מָדַי	M@DAJ	MDJ/	Media
L70488		יָוָן	J@W@N	JWN=/	[jawan, Greece]
L70489		תֻּבַל	T.UBAL	TBL==/	Tubal
L70490		מֶשֶׁךְ	MECEK:	MCK=/	Meshech
L70491		תִּירָס	T.IJR@S	TJRS/	Tiras
L70492		אַשְׁכֲּנַז	>AC:K.:ANAZ	>CKNZ/	Ashkenaz
L70493		רִיפַת	RIJPAT	RJPT/	Riphath
L70494		תֹּוגַרְמָה	T.OWGAR:M@H	TWGRMH/	Togarmah
L70495		אֱלִישָׁה	>:ELIJC@H	>LJCH/	Elishah
L70496		תַּרְשִׁישׁ	T.AR:CIJC	TRCJC=/	Tarshish
L70497		כִּתִּיִּים	K.IT.IJ.IJM	KTJJM/	Kittim
L70498		דֹּדָנִים	D.OD@NIJM	DDNJM/	Rodanim
L70499		אִי	>IJ	>J/	coast, island
L70500		גֹּוי	G.OWJ	GWJ/	people
L70501		לָשֹׁון	L@COWN	LCWN/	tongue
L70502		מִצְרַיִם	MIY:RAJIM	MYRJM/	Egypt
L70503		פּוּט	P.W.V	PWV/	Put
L70504		כּוּשׁ	K.W.C	KWC=/	Cush
L70505		סְבָא	S:B@>	SB>==/	Seba
L70506		סַבְתָּא	SAB:T.@>	SBT>/	Sabta
L70507		רַעְמָה	RA<:M@H	R<MH=/	Raamah
L70508		סַבְתְּכָא	SAB:T.:K@>	SBTK>/	Sabteca
L70509		שְׁבָא	C:B@>	CB>/	Sheba
L70510		דְּדָן	D.:D@N	DDN/	Dedan
L70511		נִמְרֹד	NIM:ROD	NMRD/	Nimrod
L70512		צַיִד	YAJID	YJD/	hunting
L70513		מַמְלֶכֶת	MAM:LEKET	MMLKT/	kingdom
L70514		בָּבֶל	B.@BEL	BBL/	Babel
L70515		אֶרֶךְ	>EREK:	>RK===/	Erech
L70516		אַכַּד	>AK.AD	>KD/	Akkad
L70517		כַּלְנֵה	K.AL:N;H	KLNH/	Calneh
L70518		שִׁנְעָר	CIN:<@R	CN<R/	Shinar
L70519		נִינְוֵה	NIJN:W;H	NJNWH/	Nineveh
L70520		רְחֹבֹת עִיר	R:XOBOT_<IJR	RXBT_<JR/	Rehoboth Ir
L70521		כֶּלַח	K.ELAX	KLX=/	Calah
L70522		רֶסֶן	RESEN	RSN=/	Resen
L70523		לוּדִים	LW.DIJM	LWDJM/	Ludites
L70524		עֲנָמִים	<:AN@MIJM	<NMJM/	Anamites
L70525		לְהָבִים	L:H@BIJM	LHBJM/	Lehabites
L70526		נַפְתֻּחִים	NAP:T.UXIJM	NPTXJM/	Naphtuhites
L70527		פַּתְרֻסִים	P.AT:RUSIJM	PTRSJM/	Pathrusites
L70528		כַּסְלֻחִים	K.AS:LUXIJM	KSLXJM/	Casluhites
L70529		פְּלִשְׁתִּי	P.:LIC:T.IJ	PLCTJ/	Philistine
L70530		כַּפְתֹּרִי	K.AP:T.ORIJ	KPTRJ/	Caphtorite
L70531		צִידֹון	YIJDOWN	YJDWN/	Sidon
L70532		חֵת	X;T	XT==/	Heth
L70533		יְבוּסִי	J:BW.SIJ	JBWSJ/	Jebusite
L70534		אֱמֹרִי	>:EMORIJ	>MRJ/	Amorite
L70535		גִּרְגָּשִׁי	G.IR:G.@CIJ	GRGCJ/	Girgashite
L70536		חִוִּי	XIW.IJ	XWJ/	Hivite
